Name,E605
Comment,E605 data
Reference,Phys.Rev.D 43 (1991) 2815
Process type,DY
Number of points,74
Number of uncorr.errors,2
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.15
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E605.7Q8.0,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,0.1,0.0,0.2,0.785,0.1692059,0.03925000000000001,26.525823848649996,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.1,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,0.3,0.19999999999999998,0.4,0.973,0.1762993,0.04865,8.84194128288333,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.2,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,0.5,0.4,0.6,0.825,0.1442574,0.04125,5.305164769730001,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.3,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,0.7,0.6,0.7999999999999999,0.805,0.1394619,0.04025000000000001,3.789403406950001,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.4,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,0.9,0.8,1.0,0.569,0.09937236,0.02845,2.9473137609611118,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.5,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,1.1,1.0,1.2000000000000002,0.537,0.09595475,0.026850000000000002,2.411438531695452,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.6,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,1.3,1.2,1.4000000000000001,0.388,0.07269525,0.0194,2.0404479883576903,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.7,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,1.5,1.4,1.6,0.312,0.06227038,0.015600000000000001,1.7683882565766642,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.8,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,1.7,1.5999999999999999,1.8,0.229,0.0519838,0.011450000000000002,1.5603425793323515,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.9,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,1.9,1.7999999999999998,2.0,0.136,0.03748186,0.0068000000000000005,1.396095992034209,False,0.0,0.0,-1000.0,1000.0
E605.7Q8.10,2 - 2 - 1002,1502.3375999999998,7.5,7.0,8.0,0.05,-0.1,0.2,2.1,2.0,2.2,0.137,0.04841606,0.006850000000000001,1.263134468983332,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.0,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,0.1,0.0,0.2,0.333,0.05811527,0.01665,26.525823848649996,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.1,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,0.3,0.19999999999999998,0.4,0.439,0.07226365,0.02195,8.84194128288333,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.2,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,0.5,0.4,0.6,0.368,0.05982316,0.0184,5.305164769730001,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.3,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,0.7,0.6,0.7999999999999999,0.37,0.06006213,0.0185,3.789403406950001,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.4,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,0.9,0.8,1.0,0.259,0.04212647,0.012950000000000001,2.9473137609611118,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.5,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,1.1,1.0,1.2000000000000002,0.224,0.0366258,0.011200000000000002,2.411438531695452,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.6,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,1.3,1.2,1.4000000000000001,0.18,0.02983459,0.009,2.0404479883576903,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.7,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,1.5,1.4,1.6,0.131,0.02221138,0.00655,1.7683882565766642,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.8,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,1.7,1.5999999999999999,1.8,0.0875,0.01540697,0.0043749999999999995,1.5603425793323515,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.9,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,1.9,1.7999999999999998,2.0,0.0713,0.01328583,0.0035650000000000005,1.396095992034209,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.10,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,2.1,2.0,2.2,0.0482,0.009907063,0.0024100000000000002,1.263134468983332,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.11,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,2.3,2.1999999999999997,2.4,0.0272,0.006918988,0.00136,1.153296689071738,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.12,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,2.5,2.4,2.6,0.0217,0.006188275,0.001085,1.061032953945999,False,0.0,0.0,-1000.0,1000.0
E605.8Q9.13,2 - 2 - 1002,1502.3375999999998,8.5,8.0,9.0,0.05,-0.1,0.2,2.7,2.6,2.8000000000000003,0.0184,0.00640844,0.00092,0.9824379203203694,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.0,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,0.1,0.0,0.2,0.0701,0.0139072,0.003505,26.525823848649996,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.1,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,0.3,0.19999999999999998,0.4,0.0784,0.01357776,0.00392,8.84194128288333,False,0.0,0.0,-1000.0,1000.0
E605.10Q11.2,2 - 2 - 1002,1502.3375999999998,11.0,10.5,11.5,0.05,-0.1,0.2,0.5,0.4,0.6,0.0712,0.01198793,0.0035600000000000002,5.305164769730001,False,0.0,0.0,-1000.0,1000.0
